,Greater Capital City,Number of Tweets Made
2,2gmel (Greater Melbourne),2250071
0,1gsyd (Greater Sydney),2110026
4,3gbri (Greater Brisbane),843036
1,1rnsw (Rest of NSW),755479
5,3rqld (Rest of QLD),724570
3,2rvic (Rest of Vic.),614547
8,5gper (Greater Perth),582278
6,4gade (Greater Adelaide),450972
14,8acte (Australian Capital Territory),211989
9,5rwau (Rest of WA),138644
7,4rsau (Rest of SA),112069
11,6rtas (Rest of Tas.),94715
10,6ghob (Greater Hobart),83564
12,7gdar (Greater Darwin),46315
13,7rnte (Rest of NT),33803
61,australia (australia),21326
1275,torontoontario (torontoontario),2102
1000,pacificpinesgoldcoast (pacificpinesgoldcoast),1130
213,bulliwollongong (bulliwollongong),732
333,corrimalwollongong (corrimalwollongong),462
1038,pokolbincessnock (pokolbincessnock),455
1211,surfersparadisegoldcoast (surfersparadisegoldcoast),392
994,outbackroxbydowns (outbackroxbydowns),369
81,ballaratcentralballarat (ballaratcentralballarat),255
157,bluemountainsnationalparkbluemountains (bluemountainsnationalparkbluemountains),245
1306,uranganherveybay (uranganherveybay),240
704,laffingwatersbathurst (laffingwatersbathurst),228
449,etnacreekglendale (etnacreekglendale),220
555,hackneylondon (hackneylondon),194
623,islingtonlondon (islingtonlondon),191
1022,petermannyulara (petermannyulara),174
36,almanorthampton (almanorthampton),168
735,leurabluemountains (leurabluemountains),164
1396,whitsundayshamiltonisland (whitsundayshamiltonisland),164
632,jervisbayjervisbayterritory (jervisbayjervisbayterritory),157
635,jesmondnewcastle (jesmondnewcastle),156
939,noosaheadssunshinecoast (noosaheadssunshinecoast),156
979,oakvilleontario (oakvilleontario),152
508,gledswoodhillscatherinefield (gledswoodhillscatherinefield),138
497,georgetownpinang (georgetownpinang),125
1258,thirroulwollongong (thirroulwollongong),123
327,coralseamackay (coralseamackay),123
1292,turinpiedmont (turinpiedmont),119
539,grovedalegeelong (grovedalegeelong),111
342,crawleysoutheast (crawleysoutheast),107
879,mountmacedonmacedon (mountmacedonmacedon),107
220,burleighheadsgoldcoast (burleighheadsgoldcoast),104
600,hughtitjikala (hughtitjikala),104
217,buninyongballarat (buninyongballarat),101
802,mclarenvalemclarenvale (mclarenvalemclarenvale),99
1199,stonewelltanunda (stonewelltanunda),92
137,bethanytanunda (bethanytanunda),88
536,greenwichlondon (greenwichlondon),83
194,broadbeachgoldcoast (broadbeachgoldcoast),78
715,lakemacquarienewcastle (lakemacquarienewcastle),73
1265,tinbeerwahdoonan-tinbeerwah (tinbeerwahdoonan-tinbeerwah),72
988,opaltonwinton (opaltonwinton),70
955,northmalenymaleny (northmalenymaleny),69
1352,warumungutennantcreek (warumungutennantcreek),66
1337,wandsworthlondon (wandsworthlondon),64
737,lilyvalehelensburgh (lilyvalehelensburgh),63
1325,wagerupyarloop (wagerupyarloop),63
1074,redhillredhillsouth (redhillredhillsouth),62
236,calgaryalberta (calgaryalberta),61
352,currumbingoldcoast (currumbingoldcoast),57
599,hothamheightsmounthotham (hothamheightsmounthotham),53
843,mollymookulladulla (mollymookulladulla),53
636,jindabynelakewoodestate (jindabynelakewoodestate),52
1224,tannumsandstannumsands-boyneisland (tannumsandstannumsands-boyneisland),48
401,dudleynewcastle (dudleynewcastle),48
645,kakadujabiru (kakadujabiru),46
1108,rowlandflattanunda (rowlandflattanunda),45
851,mooloolabasunshinecoast (mooloolabasunshinecoast),45
1283,trevallynlaunceston (trevallynlaunceston),43
633,jervisbayterritoryaustralia (jervisbayterritoryaustralia),43
1003,palmviewglenview (palmviewglenview),42
179,bornholmdanmark (bornholmdanmark),41
1388,westwodongawodonga (westwodongawodonga),41
149,blackallsparknewcastle (blackallsparknewcastle),40
328,coralseayarrabah (coralseayarrabah),39
771,mainridgearthursseat (mainridgearthursseat),38
239,caloundrasunshinecoast (caloundrasunshinecoast),38
64,avalonlara (avalonlara),38
530,gosfordcentralcoast (gosfordcentralcoast),37
365,dargodinnerplain (dargodinnerplain),37
659,katoombabluemountains (katoombabluemountains),37
111,beerburrumbeerburrum-north (beerburrumbeerburrum-north),37
1274,torontonewcastle (torontonewcastle),36
493,geelongwestgeelong (geelongwestgeelong),35
1150,smythescreekballarat (smythescreekballarat),35
1355,waurnpondsgeelong (waurnpondsgeelong),35
499,gibsondesertnorthkiwirrkurra (gibsondesertnorthkiwirrkurra),34
353,currumbinvalleygoldcoast (currumbinvalleygoldcoast),34
848,montvilleflaxton (montvilleflaxton),34
788,maroochydoresunshinecoast (maroochydoresunshinecoast),33
914,naturalistedunsborough (naturalistedunsborough),32
770,mainbeachgoldcoast (mainbeachgoldcoast),32
1402,williamtowntomago (williamtowntomago),32
820,mertonlondon (mertonlondon),31
407,eastarnhemyirrkala (eastarnhemyirrkala),30
172,bonshawballarat (bonshawballarat),30
557,haleamoonguna (haleamoonguna),30
733,lenevawodonga (lenevawodonga),30
233,cairnscitycairns (cairnscitycairns),30
404,durackwarmun (durackwarmun),30
875,mountkemblawollongong (mountkemblawollongong),30
1153,somersbycentralcoast (somersbycentralcoast),30
1410,windermeredilston (windermeredilston),29
670,kiambasoccsksargen (kiambasoccsksargen),29
937,nonningportaugusta (nonningportaugusta),29
120,bellsbeachtorquay-janjuc (bellsbeachtorquay-janjuc),29
50,argentonnewcastle (argentonnewcastle),29
189,bramleymargaretriver (bramleymargaretriver),28
510,glenedengladstone (glenedengladstone),28
1448,yeringyarraglen (yeringyarraglen),28
247,canmorealberta (canmorealberta),28
701,lacebywangaratta (lacebywangaratta),27
302,coalcliffwollongong (coalcliffwollongong),27
1367,westarnhemminjilang (westarnhemminjilang),27
