,Author Id,Number of Tweets Made
41547,#1498063511204761601,68477
4964,#1089023364973219840,28128
109348,#826332877457481728,27718
15399,#1250331934242123776,25350
31258,#1423662808311287813,21034
10770,#1183144981252280322,20765
17092,#1270672820792508417,20503
108965,#820431428835885059,20063
106616,#778785859030003712,19403
5847,#1104295492433764353,18781
64576,#233782487,18216
69735,#2596393884,16162
110846,#84958532,15689
102957,#719139700318081024,15482
26365,#1381214332114010114,14257
102060,#7050962,13934
92615,#467130216,13660
56393,#18147028,13171
68349,#252426781,12926
6124,#1108565574,12661
98545,#58194459,12649
61741,#22111680,12592
100670,#629264424,12568
8390,#1145715146347565057,12568
118968,#990989558,12206
115697,#93309166,12040
119095,#99367063,12012
115686,#932875050,12009
25314,#1369912352133373955,11990
115624,#93167268,11968
109174,#823550539,11672
54892,#170238260,11634
85757,#371068152,11605
114967,#920095676,11483
59895,#20832884,11461
4801,#1086678482615263233,11460
99634,#6058942,11454
58530,#196117757,11361
88501,#4034803644,11150
49578,#156677140,10795
11685,#1197242703605420032,10601
26527,#138294089,10375
103126,#722076001086222337,10146
912,#1016912509473775616,10124
113518,#89570289,10121
101404,#67308556,9827
106796,#781798363457093633,9787
97556,#56059706,9724
1613,#1029628208,9626
63026,#2270999887,9179
14292,#1237258822965575680,9067
33631,#1440875233267773445,8996
1538,#1028574977153368065,8962
117106,#957120306,8928
72936,#279323894,8866
85507,#367420836,8796
119403,#999625722019823616,8729
76690,#2985147727,8526
49874,#156974829,8346
32147,#143009202,8311
53930,#1648923450,8296
115941,#93730228,8243
93871,#4839819043,8171
111747,#865011419044958212,8140
113494,#895324410395021312,8134
15401,#1250358524879597569,8100
12861,#1215899380827316225,8041
63690,#2298704174,8028
60498,#21449987,7949
101913,#702837625,7935
107034,#786381114138951680,7931
42063,#15015082,7887
28445,#1402087599255089155,7822
50247,#157348133,7801
65960,#239673025,7791
84554,#35647327,7646
90971,#438952587,7482
78833,#3107950518,7478
82893,#3380828067,7331
13506,#1225473612167016449,7314
77086,#3005691210,7232
74723,#2887713523,7228
72287,#2756858926,7227
83278,#34172405,7225
108055,#803641382,7222
32030,#1429233116183334913,7127
103305,#72478719,7122
10116,#1172400317104709632,7091
110620,#84560995,7054
16570,#1264385409754132480,6993
3420,#1063652700116549634,6991
2521,#1047337539135135744,6903
993,#1018428566587899910,6860
36668,#1462684145365049344,6848
9319,#1159996035818590208,6765
64661,#23418157,6712
64491,#2334306487,6692
66221,#24111560,6626
29108,#140822144,6518
65267,#236787184,6514
112237,#873208842351329281,6493
99900,#61220731,6468
15821,#125515417,6457
53313,#1616540347,6440
118310,#978897142579449856,6433
34726,#1448583359236481024,6410
116371,#94479229,6391
60693,#21552376,6384
85472,#366943105,6338
117209,#958993013702709249,6317
112112,#871317328482324480,6296
7446,#1130427722574942208,6226
31552,#1425899453223895040,6223
112608,#879599368260599810,6221
111129,#854992775640567808,6189
81091,#3256701571,6149
119334,#998523678806622209,6138
39304,#148241016,6121
109987,#835809553589526530,6099
48040,#15510386,6095
100799,#63278996,6056
10079,#1171770396728856577,6049
59753,#20651091,5984
16146,#1259161086,5980
31881,#1428100391892176896,5980
93231,#4756039104,5966
65969,#2396932903,5958
9131,#1156520853519028225,5956
91582,#4500903613,5949
29836,#1413721096247943171,5917
84914,#3603541634,5913
19718,#130481653,5898
37504,#1469597269204762626,5857
112384,#875530139286683648,5857
92498,#465388238,5820
59316,#20216287,5791
118759,#987281520099344384,5777
116338,#944103128059691008,5748
116818,#952342256823943168,5707
19598,#1303285512409550848,5683
106929,#784721187368636416,5671
93393,#477517945,5667
866,#101619083,5659
80719,#323675092,5623
91661,#4516171573,5623
106783,#781609133153722369,5562
56183,#179702307,5516
15779,#1254694244989591552,5509
78403,#30826947,5508
80714,#3236536471,5506
54683,#16892160,5499
66648,#2432885419,5479
109004,#820946482631098368,5436
113765,#899510647,5398
118247,#977698979046506496,5377
108893,#819405178675728384,5354
613,#1011491170130653185,5312
4445,#1080755508653346817,5245
111779,#865490222745702401,5217
11395,#1192608117164408832,5210
33009,#1436577653125877768,5202
118996,#991475275291541505,5180
111470,#860433787,5165
79642,#3165710186,5150
81049,#3254100146,5125
10737,#1182511453326036993,5100
104667,#746985971783065600,5099
93419,#47791811,5075
114858,#918081686339911682,5064
96604,#541347843,5059
76822,#2991272460,5016
109111,#822599416762744832,4998
87739,#39455201,4952
5433,#1097337516053544960,4949
66989,#24512970,4936
106040,#76908648,4921
67934,#2500702068,4908
67154,#2460862537,4895
87451,#391086693,4873
117196,#958809980408184832,4871
88672,#405997483,4870
8129,#1141506637779197952,4865
7784,#1135735381838614530,4841
17407,#1274997675402788864,4838
73084,#2801634740,4832
53789,#164131639,4827
30864,#1420948193584422920,4814
94857,#499696436,4779
86817,#38366492,4759
69966,#260742204,4734
53660,#16343574,4716
54423,#167511256,4703
106815,#78209875,4679
112457,#876685728352043008,4612
85551,#36822807,4596
98290,#576131356,4588
2081,#103884504,4558
98971,#59125567,4483
113838,#900757493541871616,4473
11802,#1199031211,4463
88962,#409978813,4443
62408,#2244014227,4438
2585,#10482452,4437
8595,#1148817595862142976,4429
1162,#1021300398659735553,4419
446,#1008296232261783552,4416
12586,#1212872108314726400,4408
104278,#740371440,4387
33641,#1440915344537751553,4384
68449,#252927646,4383
38803,#14795444,4381
31931,#142844200,4374
88307,#401237384,4366
90130,#42571871,4331
10595,#1180298528125382657,4322
63574,#2292597247,4301
30011,#1414977588,4293
11609,#1195861774492291074,4290
114046,#903822128155262976,4286
82321,#332525379,4257
71338,#269815420,4256
17592,#1277545015351275522,4238
40612,#1491316688549253120,4205
76451,#29694441,4191
10323,#1175898739157827584,4177
53460,#1624641818,4172
117640,#96690601,4155
36314,#1459842373341483011,4140
115380,#927305017916141570,4134
78875,#31103221,4108
76865,#29936671,4104
106282,#773366832526917633,4104
18162,#1285141868,4082
76908,#299502506,4079
81935,#3306139076,4079
105334,#757791901445521408,4057
35705,#1455664454,4057
108576,#814110828647460865,4056
47112,#1542402698,4052
46878,#154030097,4049
57175,#18753403,4043
72817,#278760917,4042
100954,#636186580,4024
56614,#18347451,4019
92457,#4648031797,4008
78392,#308205570,4003
99874,#61160348,3996
17831,#1280676458868830209,3988
82842,#337654419,3973
22324,#1337574323846975488,3969
26259,#1380122967787511808,3961
77107,#300678234,3948
97968,#568825299,3946
23908,#1355590891,3939
26077,#1377960994039681025,3935
112273,#873872685930954752,3922
76288,#2960235594,3917
91758,#453377412,3914
25207,#1368800628781191169,3886
11866,#1200027504230027264,3881
24293,#1359339324882362369,3873
68809,#255184064,3871
27751,#1395216421831929859,3869
79478,#315454044,3862
14770,#1243025179,3857
60698,#215562059,3854
57741,#19109056,3851
80422,#3221414178,3842
93119,#4740919877,3842
2923,#1054035642,3829
94264,#489231338,3825
73010,#279803594,3816
92874,#47081549,3811
103886,#733864045669810177,3776
4848,#1087481,3776
67247,#2465378965,3761
91532,#449306256,3747
65508,#237612784,3740
30712,#1419906195242971139,3724
60443,#213903403,3718
31638,#142649779,3699
25775,#1374979036137447428,3692
60499,#21451212,3688
4646,#1084326879127982081,3676
25001,#1366624936278716418,3669
105820,#765638249125703681,3668
42180,#1502245238315778049,3633
101485,#68021298,3619
63098,#22734723,3617
112894,#884776940153978882,3605
102343,#709569487729614848,3601
44347,#1518998120,3586
84659,#35729210,3577
106564,#777953351862456321,3572
106631,#778973430708219904,3555
55944,#17753670,3551
84508,#35600692,3546
11403,#1192699000043925505,3543
31400,#14248699,3535
93239,#475632078,3527
81236,#326793122,3526
70234,#262061789,3514
102391,#710205072806809600,3513
89617,#4184768087,3509
40873,#1493243686398087168,3506
85416,#366354910,3499
58508,#195989179,3499
84493,#355838462,3496
117323,#961128374751125505,3488
97270,#555090621,3471
56761,#18474634,3467
19549,#1302620497604014082,3462
10867,#1184692549551738880,3452
111366,#858950980989140993,3444
342,#1006232250,3437
7018,#1123828470,3433
69755,#25971449,3429
27164,#1389577277134950401,3420
46702,#1538463780,3414
62095,#22315925,3412
64991,#2355875629,3401
64417,#233062476,3398
